hours,remote,education,seniority,country,job_published_at,y_pred,comp_dol
Full-Time,Unclear,High School,Manager,United States,2023-04-13,-0.7223608559725008,-0.8568180726871971
Full-Time,Unclear,Bachelors,Manager,,2023-05-23,0.48885008940162794,-0.6649071572856564
Full-Time,Unclear,Bachelors,Unclear Seniority,United States,2023-05-04,0.24397590878850628,0.38234181152804886
Full-Time,false,Unclear,Unclear Seniority,Malaysia,2023-03-23,-0.32310063920612814,-0.43359731223214387
Full-Time,Unclear,Bachelors,Staff IC,United States,2023-04-10,0.853143746773787,-1.047458054874158
Full-Time,true,Unclear,Unclear Seniority,United States,2023-04-27,0.4191554814381107,0.7993667725620258
Full-Time,false,Bachelors,Senior IC,United States,2023-05-15,0.08097347501582186,1.127950668526435
Full-Time,Unclear,Unclear,Unclear Seniority,United Kingdom,2023-04-27,-0.8197955388977547,-1.5081713451593135
Full-Time,Unclear,Unclear,Manager,United States,2023-04-03,0.12233765098215377,0.06460850788311398
Unclear,Unclear,Unclear,Unclear Seniority,United States,2023-03-29,0.06996487757964275,1.2561083965516198
Full-Time,Unclear,Bachelors,IC,United States,2023-04-27,-0.05993670109270639,-0.34664959368970744
Unclear,Unclear,Bachelors,Unclear Seniority,,2023-04-07,0.3082159772667634,0.3219724838355112
Full-Time,Unclear,High School,Senior IC,United States,2023-05-19,-0.4569457507471356,0.5640693745477693
Full-Time,false,Unclear,Unclear Seniority,Latvia,2023-05-25,-0.32310063920612814,-0.1895781350328339
Full-Time,Unclear,Unclear,Unclear Seniority,Armenia,2023-06-02,-0.45812778088287404,-0.1339748068949703
Full-Time,true,Unclear,IC,United States,2023-05-23,0.15466607020627582,-0.3325581216730546
Full-Time,false,Unclear,Manager,United States,2023-02-28,0.5255289033256397,0.4220584744836657
Full-Time,Unclear,High School,Manager,United States,2023-05-17,-0.7223608559725008,-0.9489607307442282
Full-Time,Unclear,Unclear,Unclear Seniority,United States,2023-03-02,-0.07582341830059793,-0.8507811399179434
Full-Time,Unclear,Unclear,Senior IC,,2023-03-29,-0.021385579502514927,0.10432517083873084
Full-Time,Unclear,High School,Manager,United States,2023-05-25,-0.7223608559725008,-0.983911394145171
Full-Time,Unclear,Bachelors,Unclear Seniority,United States,2023-04-24,0.24397590878850628,-0.3563881194464247
Full-Time,Unclear,Bachelors,Manager,Rwanda,2023-03-15,0.1350967890778134,0.021730398556230022
Full-Time,Unclear,Unclear,Staff IC,Australia,2023-04-04,0.33754983613120054,-1.0469814549186907
Full-Time,Unclear,High School,Unclear Seniority,United States,2023-05-25,-0.8468437669078466,-0.7640399480228761
Full-Time,Unclear,Unclear,Senior IC,United States,2023-05-17,0.4376022631939808,-0.45011944402168047
Full-Time,true,Bachelors,Senior IC,India,2023-04-18,-0.3149890160097698,0.021730398556230022
Full-Time,true,Unclear,Senior IC,India,2023-05-15,-0.28486596529398883,0.021730398556230022
Unclear,Unclear,Bachelors,Senior IC,China,2023-05-25,0.16047060183403228,0.021730398556230022
Full-Time,Unclear,Bachelors,Unclear Seniority,United States,2023-04-28,0.24397590878850628,-0.5496017413929096
Full-Time,Unclear,Doctorate,Manager,United States,2023-04-05,0.6624072536978395,-0.23730167724030313
Full-Time,Unclear,Masters,Staff IC,United States,2023-03-22,0.9266810686788417,0.9955670875627731
Full-Time,Unclear,High School,Unclear Seniority,United States,2023-05-05,-0.8468437669078466,-0.11808814171272355
Full-Time,Unclear,Unclear,Manager,United States,2023-05-04,0.12233765098215377,0.18375849674996456
Intern,Unclear,Unclear,Intern,United States,2023-05-04,-0.579196344091002,-0.4996858393902903
Full-Time,Unclear,Bachelors,Unclear Seniority,United States,2023-04-17,0.24397590878850628,-0.7678527476666154
Full-Time,Unclear,Unclear,Unclear Seniority,Japan,2023-04-04,-0.45812778088287404,0.021730398556230022
